bucket,recommended_action,url,slug,title,word_count,char_count,is_empty,is_thin,template_overlap_pct,template_near_dup,gsc_impressions_365d,gsc_clicks_365d,gsc_position_avg,gsc_ctr_pct,potential_score,h1_count,h1_first,http_status
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/holistic-rehabilitation-center-in-tompkins-corners-ny,holistic-rehabilitation-center-in-tompkins-corners-ny,,560,3494,,,14.8,,361,0,15.3,,361,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/top-rated-rehabilitation-center-in-hidden-lakes-ny,top-rated-rehabilitation-center-in-hidden-lakes-ny,,645,4030,,,6.6,,335,0,13.8,,335,0,,200
Q3+,"EXPAND — thin original, add genuine local content",https://www.armsacres.com/suburb/specialized-addiction-treatment-center-in-cortlandt-manor-ny,specialized-addiction-treatment-center-in-cortlandt-manor-ny,,373,2478,,TRUE,2.4,,463,2,27.0,0.43,334,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/leading-rehab-center-in-putnam-lake-ny,leading-rehab-center-in-putnam-lake-ny,,507,3703,,,3.8,,453,2,23.7,0.44,327,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/most-effective-rehabilitation-center-in-crofts-corners-ny,most-effective-rehabilitation-center-in-crofts-corners-ny,,613,3911,,,3.2,,324,0,7.9,,324,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/licensed-addiction-treatment-center-in-carmel-hills-ny,licensed-addiction-treatment-center-in-carmel-hills-ny,,561,3296,,,2.8,,441,0,21.4,,309,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/holistic-addiction-rehab-center-in-salem-center-ny,holistic-addiction-rehab-center-in-salem-center-ny,,536,3296,,,2.8,,284,2,13.7,0.7,294,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/leading-rehab-center-in-gleneida-heights-ny,leading-rehab-center-in-gleneida-heights-ny,,513,3145,,,4.4,,278,0,9.0,,278,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/professional-drug-and-alcohol-rehab-center-in-cross-river-ny,professional-drug-and-alcohol-rehab-center-in-cross-river-ny,,717,5311,,,11.5,,379,0,26.1,,265,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/reliable-alcohol-rehab-center-in-mohegan-lake-ny,reliable-alcohol-rehab-center-in-mohegan-lake-ny,,614,3881,,,2.8,,337,2,33.8,0.59,246,0,,200
