"url","type","topical","clicks_365","impressions_365","pos_365","clicks_90","impressions_90","clicks_30","impressions_30","trend_pct","internal_links","backlinks","ref_main_domains","current_decision","cohort","reason"
"https://www.surfpointrecovery.com/blog/can-drugs-affect-hormones","blog","unclassified","103","31553","5.5","53","12703","0","248","-96","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -96%"
"https://www.surfpointrecovery.com/blog/diflucan-and-alcohol","blog","off_topic","102","85216","10.3","88","42112","2","4254","-77.5","0","0","0","NOINDEX (off-topic but traffic)","B_bleeding","decaying, trend -78%"
"https://www.surfpointrecovery.com/blog/what-is-powdered-alcohol","blog","unclassified","101","32577","10.5","41","12355","2","1608","-70.1","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -70%"
"https://www.surfpointrecovery.com/blog/how-long-does-alcohol-stay-in-urine-factors-affecting-detection-time","blog","unclassified","100","80582","15.2","69","53609","0","4813","-80.3","2","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -80%"
"https://www.surfpointrecovery.com/blog/dangers-of-mixing-alcohol-and-nyquil","blog","unclassified","98","126442","16","47","56973","3","6705","-73.3","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/alcohol-and-metformin","blog","off_topic","91","67012","9.8","65","43076","1","2963","-85.2","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/dangers-mixing-alcohol-and-flagyl","blog","unclassified","91","56033","11.9","65","29328","2","2987","-77.3","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/dangers-of-mixing-alcohol-and-wellbutrin","blog","unclassified","88","68803","22.2","60","30712","3","755","-95","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/sudafed-pseudoephedrine-alcohol","blog","unclassified","86","203707","7.2","51","81147","5","11131","-68.2","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/alcohol-intolerance","blog","core","82","71966","21.6","27","26301","1","1590","-87.1","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/dangers-of-mixing-alcohol-and-muscle-relaxers","blog","unclassified","81","68960","9.7","34","26988","3","4752","-57.3","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/how-to-tell-if-weed-is-laced-key-signs-to-look-for","blog","core","80","15642","5.5","74","14659","3","1312","-80.3","2","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/can-addictions-be-good","blog","core","77","9837","6.7","51","5687","8","714","-71.3","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/mixing-dayquil-and-alcohol","blog","unclassified","76","82213","13.1","32","36641","1","4310","-73.3","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/friend-passed-out-drunk","blog","unclassified","75","41779","7.4","29","18286","2","2523","-68","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/side-effects-of-drinking-rubbing-alcohol","blog","unclassified","74","53263","12.2","17","12804","1","2268","-56.9","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/can-alcohol-cause-a-urinary-tract-infection","blog","core","73","79030","13.6","57","45135","3","4331","-78.8","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/does-alcohol-affect-your-lungs","blog","unclassified","72","26248","19.1","40","13374","5","1856","-67.8","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/alcohol-relapse-statistics","blog","core","67","20123","19.9","27","9033","1","556","-86.9","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/anemia-and-alcohol","blog","unclassified","64","58866","15.8","32","26773","2","2164","-82.4","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/drug-related-crime-statistics","blog","unclassified","61","21746","19.2","17","8339","3","1385","-60.1","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/best-food-for-alcohol-detox","blog","core","61","22854","22","39","15288","4","1174","-83.4","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/can-combining-two-drugs-intensify-the-effects","blog","unclassified","59","55643","5","32","22395","0","1969","-80.7","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/signs-of-heart-damage-from-drugs","blog","unclassified","57","30869","6.4","23","9798","4","1499","-63.9","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/withdrawal-signs-of-love-addiction","blog","core","55","18788","16.6","23","9450","2","1788","-53.3","0","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/best-vitamins-and-supplements-for-opioid-detox","blog","core","51","5444","11.9","46","4724","10","438","-79.5","2","0","0","AUDIT","B_bleeding","blog needs evaluation"
"https://www.surfpointrecovery.com/faq","core","unclassified","50","8280","5.4","9","819","1","135","-60.3","385","0","0","KEEP","B_bleeding","core revenue/utility surface"
"https://www.surfpointrecovery.com/blog/alcohol-and-steroids","blog","unclassified","48","60633","7.4","28","19051","3","2373","-71.5","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 48 clicks 365d"
"https://www.surfpointrecovery.com/blog/mixing-sleeping-pills-and-alcohol","blog","adjacent","46","40167","18.2","31","26187","3","4855","-54.5","0","0","0","AUDIT (adjacent w/ traffic)","B_bleeding","low-value, 46 clicks 365d"
"https://www.surfpointrecovery.com/blog/melatonin-and-alcohol","blog","off_topic","45","86466","18.6","18","35678","3","2199","-86.9","0","0","0","NOINDEX","B_bleeding","low-value, 45 clicks 365d"
"https://www.surfpointrecovery.com/blog/why-does-alcohol-give-me-night-sweats","blog","unclassified","44","33586","32.2","41","24018","0","1849","-83.3","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 44 clicks 365d"
"https://www.surfpointrecovery.com/blog/what-do-muscle-relaxers-do-exploring-their-uses-and-side-effects","blog","unclassified","39","28332","17.8","25","20229","1","1232","-87","2","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 39 clicks 365d"
"https://www.surfpointrecovery.com/blog/commonly-mixed-substances","blog","unclassified","39","18791","6.9","17","4847","1","568","-73.4","0","0","0","KEEP-AUDIT","B_bleeding","blog with 1 conv 365d"
"https://www.surfpointrecovery.com/blog/steven-tyler-drug-addiction","blog","core","38","7911","12.9","13","1504","2","175","-73.6","0","0","0","AUDIT (core topical)","B_bleeding","low-value, 38 clicks 365d"
"https://www.surfpointrecovery.com/blog/does-alcohol-affect-male-fertility","blog","unclassified","38","31780","13.2","16","11229","0","697","-86.7","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 38 clicks 365d"
