url,word_count,schema_present,bigger_area,gsc_impressions_365d,gsc_clicks_365d,google_index_status,gsc_coverage_state,gsc_verdict,canonical_matches,google_canonical,user_canonical,last_crawl_time,status,decision
https://surfpointrecovery.com/locations/bronx,33,N,Bronx,1,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,,,,2025-11-28T21:41:11Z,200,Upgrade
https://surfpointrecovery.com/locations/brooklyn,33,N,Brooklyn,59,1,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/brooklyn,https://www.surfpointrecovery.com/locations/brooklyn,2026-03-14T01:49:14Z,200,Upgrade
https://surfpointrecovery.com/locations/brownsville,33,N,Brooklyn,12,0,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,Upgrade
https://surfpointrecovery.com/locations/gravesend-ny,33,N,Brooklyn,0,0,NEUTRAL,URL is unknown to Google,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/brighton-beach-ny,34,N,Brooklyn,10,1,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/coney-island,34,N,Brooklyn,404,6,NOINDEX (excluded by meta robots),Excluded by ‘noindex’ tag,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/coney-island,https://www.surfpointrecovery.com/locations/coney-island,2026-03-18T18:41:41Z,200,https://surfpointrecovery.com/locations/comprehensive-rehab-center-in-coney-island-ny
https://surfpointrecovery.com/locations/cypress-hills,34,N,Brooklyn,21,1,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/cypress-hills,https://www.surfpointrecovery.com/locations/cypress-hills,2026-04-10T18:16:16Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/east-flatbush,34,N,Brooklyn,104,0,NOINDEX (excluded by meta robots),Excluded by ‘noindex’ tag,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/east-flatbush,https://www.surfpointrecovery.com/locations/east-flatbush,2026-04-10T15:38:31Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/carroll-gardens-red-hook,35,N,Brooklyn,225,8,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/carroll-gardens-red-hook,https://www.surfpointrecovery.com/locations/carroll-gardens-red-hook,2026-05-12T22:10:56Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/east-new-york,35,N,Brooklyn,273,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/east-new-york,https://www.surfpointrecovery.com/locations/east-new-york,2026-05-02T02:12:43Z,200,https://surfpointrecovery.com/locations/new-york-city
https://surfpointrecovery.com/locations/flatbush,400,N,Brooklyn,295,1,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/leading-addiction-recovery-center-in-georgetown-ny,405,N,Brooklyn,373,1,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/leading-addiction-recovery-center-in-georgetown-ny,https://www.surfpointrecovery.com/locations/leading-addiction-recovery-center-in-georgetown-ny,2026-04-06T03:43:59Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/accredited-addiction-recovery-center-in-bay-ridge-ny,432,N,Brooklyn,2870,16,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/accredited-addiction-recovery-center-in-bay-ridge-ny,https://www.surfpointrecovery.com/locations/accredited-addiction-recovery-center-in-bay-ridge-ny,2026-05-09T17:39:46Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/comprehensive-rehabilitation-services-in-homecrest-ny,432,N,Brooklyn,41,0,NEUTRAL,URL is unknown to Google,NEUTRAL,,,,,200,KEEP (has content)
