domain,decision,reason,spam_score,backlinks,rank
seo-anomaly-dofollow.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-domain.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-domain.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-domain.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-domain.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-engagement.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-engagement.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-engagement.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-engagement.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-hreflang.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-hreflang.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-hreflang.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-index.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-index.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-index.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-indexing.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-indexing.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-indexing.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-indexing.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-keydensity.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-keydensity.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-keydensity.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-keydensity.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-linkbuilding.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-linkbuilding.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-linkbuilding.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-linkbuilding.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-master.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-metadata.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-metadata.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-metadata.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-metadata.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-organic.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-organic.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-organic.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-organic.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-rock.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-seoaudit.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-seoaudit.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-seoaudit.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-seoaudit.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-serp.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-serp.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-serp.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-serp.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-sitemap.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-sitemap.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-sitemap.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-snippet.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-snippet.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-snippet.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-snippet.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-teacher.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
sergechel.info,AUTO,soft-spam TLD .info + spam_score=60,60,1,0
australiandir.com,AUTO,all-nofollow + spam_score=55 + rank=0,55,1,0
magnumcompanies.co,AUTO,all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-11.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-12.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-13.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-16.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
